customer_id,full_name,national_id,age,employment_status,income_monthly,credit_score
10001,Customer 0,9786579303V,40,employed,162735,753
10002,Customer 1,9219540831V,34,employed,144165,587
10003,Customer 2,9126855092V,41,employed,212146,651
10004,Customer 3,9896233790V,50,employed,60822,707
10005,Customer 4,9395310485V,33,retired,85185,760
10006,Customer 5,9362950628V,33,contract,135858,639
10007,Customer 6,9339670711V,51,employed,81065,633
10008,Customer 7,9249827706V,43,unemployed,30071,547
10009,Customer 8,9890779946V,30,self,116807,638
10010,Customer 9,9210053353V,40,employed,110901,661
10011,Customer 10,9826600539V,30,employed,87043,654
10012,Customer 11,9895285932V,30,self,64045,634
10013,Customer 12,9685582861V,37,retired,100996,587
10014,Customer 13,9193349856V,18,student,30010,598
10015,Customer 14,9734036506V,18,employed,151285,720
10016,Customer 15,9553035110V,29,employed,88364,770
10017,Customer 16,9134126396V,25,employed,88806,732
10018,Customer 17,9131994523V,38,employed,163279,729
10019,Customer 18,9200604502V,26,employed,66017,698
10020,Customer 19,9334760738V,21,employed,103391,574
10021,Customer 20,9349817734V,50,retired,60681,707
10022,Customer 21,9642621108V,33,contract,94455,647
10023,Customer 22,9746412689V,36,employed,112836,742
10024,Customer 23,9128492780V,21,contract,105833,674
10025,Customer 24,9702632297V,30,employed,147714,672
10026,Customer 25,9313500298V,36,self,136732,777
10027,Customer 26,9868820204V,23,employed,80568,731
10028,Customer 27,9797808098V,39,business,137268,690
10029,Customer 28,9853041955V,29,unemployed,31948,587
10030,Customer 29,9685126461V,32,government,166839,704
10031,Customer 30,9550455977V,29,employed,65086,681
10032,Customer 31,9336696312V,54,business,188118,540
10033,Customer 32,9582334538V,35,employed,40871,625
10034,Customer 33,9732719211V,24,contract,91877,608
10035,Customer 34,9398704996V,43,self,194888,687
10036,Customer 35,9969119330V,23,employed,82084,581
10037,Customer 36,9106977991V,37,government,114970,669
10038,Customer 37,9914763202V,18,government,162921,661
10039,Customer 38,9965241839V,22,employed,58288,687
10040,Customer 39,9271432881V,37,business,109380,697
10041,Customer 40,9849621470V,42,employed,143858,641
10042,Customer 41,9553778756V,37,student,20486,546
10043,Customer 42,9465341213V,34,retired,55281,649
10044,Customer 43,9398362082V,32,retired,74884,667
10045,Customer 44,9266944844V,20,government,152646,697
10046,Customer 45,9331191390V,28,self,113341,739
10047,Customer 46,9919795579V,30,employed,106435,619
10048,Customer 47,9461415646V,46,retired,67401,795
10049,Customer 48,9209747451V,38,employed,115051,606
10050,Customer 49,9199585092V,18,self,122890,717
10051,Customer 50,9507943839V,38,employed,100123,651
10052,Customer 51,9203848421V,31,employed,112697,625
10053,Customer 52,9485451171V,28,government,110301,779
10054,Customer 53,9469319644V,41,employed,118600,685
10055,Customer 54,9748245888V,45,student,17835,583
10056,Customer 55,9384027113V,44,employed,75438,663
10057,Customer 56,9966647391V,27,employed,130346,645
10058,Customer 57,9146654552V,32,self,110637,649
10059,Customer 58,9883543540V,38,employed,151315,486
10060,Customer 59,9593303705V,45,employed,102755,569
10061,Customer 60,9675770529V,30,student,36121,604
10062,Customer 61,9234031070V,33,employed,142032,751
10063,Customer 62,9506448196V,24,retired,68895,772
10064,Customer 63,9184611066V,23,employed,86974,623
10065,Customer 64,9692749116V,43,employed,125975,692
10066,Customer 65,9414797776V,49,student,35462,448
10067,Customer 66,9990566476V,34,employed,120287,659
10068,Customer 67,9774996843V,45,employed,36541,729
10069,Customer 68,9764130526V,39,employed,126420,679
10070,Customer 69,9488302652V,29,employed,208501,660
10071,Customer 70,9719927151V,39,retired,52799,689
10072,Customer 71,9306468299V,50,employed,90877,757
10073,Customer 72,9856528252V,35,retired,67467,675
10074,Customer 73,9174684276V,51,contract,102495,644
10075,Customer 74,9149203558V,18,employed,167709,771
10076,Customer 75,9810026086V,43,contract,39685,626
10077,Customer 76,9344703907V,36,employed,149255,582
10078,Customer 77,9930075810V,32,unemployed,25904,642
10079,Customer 78,9410727955V,36,employed,114314,741
10080,Customer 79,9185675980V,18,business,187095,537
10081,Customer 80,9349957310V,33,self,151473,652
10082,Customer 81,9208449460V,39,employed,154893,679
10083,Customer 82,9508157429V,50,business,68558,752
10084,Customer 83,9398471886V,30,student,42302,579
10085,Customer 84,9586845604V,27,employed,117412,690
10086,Customer 85,9782560971V,30,employed,122915,692
10087,Customer 86,9995619255V,44,student,31098,552
10088,Customer 87,9491735568V,38,business,147981,748
